Simulation Time,Total Vehicles,Passenger,Trucks,Buses,Motorcycles,Bicycles,Emergencies,Trailers,Deliveries,Total Fuel Consumption (ml),Total CO2 Emission (mg),Total CO Emission (mg),Total HC Emission (mg),Total NOx Emission (mg),Total PMx Emission (mg),Total Trip Time (s),Total Delay (s)
900.0,208,201,1,0,0,0,0,5,1,2363261.4246164938,7421904.928469153,173344.19741803338,979.9745911847933,10517.0209147086,297.5525773465522,38562.75,136002.24085608145
960.0,213,207,1,0,0,0,0,4,1,2599001.9585517654,8161758.746057606,190642.99206317659,1089.2572198798373,11301.430930966548,324.45996909719946,42985.25,154288.0219858892
1020.0,219,213,1,0,0,0,0,4,1,2818899.423941823,8852141.887594094,205183.93214064618,1173.3634991775668,12147.853641647096,349.17213000395077,46868.5,173493.03134546647
1080.0,223,216,2,0,0,0,0,4,1,3086939.677120595,9694062.985157523,224589.0090354525,1292.9622026222455,13450.852498452887,386.14578668720685,50514.75,193514.25934658517
1140.0,220,214,1,0,0,0,0,4,1,3325220.732440339,10442378.207609199,241883.1444889895,1404.1722463181056,14476.654016704486,417.3987628021311,54402.5,213178.93207439687
1200.0,225,219,0,0,0,0,0,5,1,3589542.8931449475,11272285.92461342,260107.84115198583,1508.0814366411812,15536.268183606267,449.2259383675398,58708.75,233797.58076593094
1260.0,235,229,0,0,0,0,0,5,1,3823759.584055722,12007305.973587211,279846.0161070439,1612.9198331502623,16264.896013110876,473.1748006360842,64009.5,257028.6533411319
1320.0,224,220,0,0,0,0,0,4,0,4060762.7508367524,12750908.345694466,298134.83724385506,1711.9557310389018,16954.676425365506,496.64205979571904,69357.25,279399.5455335885
1380.0,236,233,0,0,0,0,0,3,0,4290810.829090899,13472550.18425614,317037.02882679674,1813.6972950314228,17493.026939182953,515.7202375400533,74505.25,302229.715354309
1440.0,238,235,0,0,0,0,0,2,1,4538992.267829052,14251106.736225069,338315.04853864014,1927.4409168766733,18107.216915869554,537.9554851888205,79325.75,326814.1173790793
1500.0,235,232,0,0,0,0,0,2,1,4778916.7970404355,15003674.922484662,356628.9297331759,2029.6326773067958,18631.636690175696,558.2062367932442,83410.75,350117.0303225369
1560.0,245,241,1,0,0,0,0,2,1,4990433.461142521,15667579.561638424,372597.04885646666,2115.6067891632447,19309.900149832843,577.5000350478965,87922.75,374319.55423868477
1620.0,245,241,1,0,0,0,0,2,1,5194738.833074804,16308618.499795856,387662.9271981229,2201.6547747024906,19871.429575690338,595.9238399536191,93107.75,400387.5824550832
1680.0,244,239,1,0,0,0,0,2,2,5430478.980708478,17048043.182000056,402402.11505544616,2305.329249942159,20406.69273878644,617.7004399073599,97938.5,425716.0547479542
1740.0,231,226,1,0,0,0,0,2,2,5671540.474195722,17804419.790221434,421312.2472632846,2438.1375418668918,21072.242154545755,643.4042612010052,102391.75,449978.5897144781
1800.0,223,218,1,0,0,0,0,1,3,5946936.337253996,18668259.590493947,444852.9267152278,2591.118496059041,21639.866467286854,669.8187667317716,106357.75,472541.6051479079
1860.0,208,202,1,0,0,0,0,2,3,6163598.091007484,19347977.66664538,461873.6043148799,2707.978522227221,22189.01691867292,693.0428975595831,110579.25,492817.8974202177
1920.0,207,202,0,0,0,0,0,2,3,6351950.187273097,19938813.04591122,473527.4504096198,2783.0073883740547,22586.241877218676,708.1505583122055,114996.25,511708.06133151305
1980.0,213,207,0,0,0,0,0,2,4,6582311.099163528,20662131.706989884,492584.8851798998,2906.4585749713356,23466.699156207767,735.1920987707366,119420.5,531226.5754124308
2040.0,215,209,0,0,0,0,0,2,4,6799142.281206941,21342663.853050027,508906.5295290748,3019.937093325123,24126.42664767518,759.1449721116865,123136.25,549510.2863199817
2100.0,215,210,0,0,0,0,0,1,4,7026245.72907001,22054917.119022556,526194.5417095502,3148.960999226847,24486.107395333678,779.9188684540267,126817.75,566411.1805949582
2160.0,233,229,0,0,0,0,0,1,3,7250136.746749758,22757104.19247484,543977.098116351,3270.4829672535675,24886.511643127094,798.7802468233358,131034.25,584892.4536823549
2220.0,226,222,0,0,0,0,0,0,4,7452552.394300148,23391766.133569583,559675.318086161,3411.893921758409,25133.310827779354,817.1995688310213,134946.0,603012.5429539782
2280.0,217,213,0,0,0,0,0,0,4,7655130.740382695,24026947.708123103,575796.6827701797,3516.651164560065,25385.222722160317,831.4340644388664,139110.25,623235.6759440001
2340.0,219,216,0,0,0,0,0,1,2,7886733.260690613,24753496.039713867,594551.1996805605,3634.333073866616,25895.84453513532,851.7811382504403,143208.5,643143.76596042
2400.0,215,213,0,0,0,0,0,1,1,8065651.810343139,25314715.001249988,608898.6284988178,3726.8319384743263,26270.784496363303,866.3279990948524,147473.75,663002.4648966697
2460.0,218,215,0,0,0,0,0,2,1,8293957.446097339,26030686.436093766,625448.4957921183,3833.627365098181,26671.183809875827,884.1510840170068,151544.25,682381.3459629811
2520.0,219,216,0,0,0,0,0,2,1,8492591.6244889,26653692.233498298,640918.9663193949,3932.560200335831,27106.77162417791,901.6301672274814,155372.75,701753.9987089322
2580.0,221,217,0,0,0,0,0,2,2,8721195.386838324,27370930.160182647,659533.8747717185,4050.971248142751,27680.0981150673,923.9431400717913,159614.5,720661.6763404871
2640.0,226,222,0,0,0,0,0,2,2,8943310.082717577,28068293.35761392,675741.7516997027,4151.369628117106,28488.966734556303,947.1947602860873,164483.5,740453.7988102296
2700.0,241,237,0,0,0,0,0,2,2,9174123.62599836,28792487.69644086,693175.6650682794,4276.874678202515,29098.987092548294,970.4056906112231,168801.75,761395.4605401644
2760.0,254,250,0,0,0,0,0,2,2,9431568.797094822,29600216.366431136,711824.0148848249,4384.393057723721,29748.945882834167,993.0928207298923,172610.25,783666.0481666363
2820.0,240,235,0,0,0,0,0,3,2,9691445.385754196,30415463.654496346,728761.4601170257,4512.885810861957,30350.718177920775,1019.1842372555133,176381.0,805367.0073087644
2880.0,243,239,0,0,0,0,0,3,1,9935375.10347563,31180562.009982284,751166.5671920973,4639.4453837517685,30902.698979748693,1042.7244360613856,180772.25,828060.2420051425
2940.0,246,241,1,0,0,0,0,3,1,10164675.336030433,31899905.15574968,768493.084812286,4733.771932775665,31493.98512739447,1064.0602508129025,185722.5,851552.2923621655
3000.0,230,225,1,0,0,0,0,3,1,10399069.707353264,32635445.05628156,785221.9728699367,4828.829797007226,32203.93666118468,1087.1109672853245,190580.75,873538.3630080344
3060.0,222,217,1,0,0,0,0,3,1,10630930.63595725,33363414.345112167,801546.3760718214,4929.556529365664,33098.687977454945,1114.637212055152,195134.5,896072.5268289838
3120.0,218,215,1,0,0,0,0,1,1,10858127.22659377,34075923.79792867,820397.0274467571,5036.713293096508,33507.07000978863,1132.2445541103218,199543.75,917932.0507701506
3180.0,224,220,1,0,0,0,0,2,1,11119208.780413834,34895232.1206186,842322.7766900876,5169.473413313941,34294.525452874186,1160.142853254093,204121.75,940116.4562175841
3240.0,228,224,1,0,0,0,0,2,1,11331140.22385725,35559908.90715279,860972.3536318787,5275.899830372555,34729.58025125129,1178.5136480313479,209083.25,962568.2420172344
