Simulation Time,Total Vehicles,Passenger,Trucks,Buses,Motorcycles,Bicycles,Emergencies,Trailers,Deliveries,Total Fuel Consumption (ml),Total CO2 Emission (mg),Total CO Emission (mg),Total HC Emission (mg),Total NOx Emission (mg),Total PMx Emission (mg),Total Trip Time (s),Total Delay (s)
1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1,1,0,0,0,0,0,0,0,666.9832298645999,2091.0838113362224,30.29247436984445,0.1828789217146666,0.7155103543967778,0.014929809625833335,0.0,0.0
3.0,1,1,0,0,0,0,0,0,0,599.5076060627044,1879.5256150731611,26.893546274609438,0.16215222511293323,0.6180844791582101,0.00966349449749179,0.0,0.010482565736506784
4.0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06126894388091678
5.0,2,2,0,0,0,0,0,0,0,689.4457493228949,2161.4731087346486,74.3978541285535,0.3862398984461514,0.8437857534499421,0.028877484596106336,0.0,0.19979835441967825
6.0,2,2,0,0,0,0,0,0,0,1387.30843743239,4349.528859245001,79.03970542151285,0.4610112875061961,1.7868182048570544,0.07449989729709688,0.0,0.3548728076281409
7.0,2,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6425843917022257
8.0,2,2,0,0,0,0,0,0,0,1641.2148751044942,5145.43584201354,139.72104794042565,0.7511360463015611,2.0175021205206236,0.07185664573141445,0.0,0.8481059145524851
9.0,2,2,0,0,0,0,0,0,0,876.6419693500819,2748.39041799034,88.60143999859467,0.4655591110288015,1.1249631084763716,0.04482931542102377,0.0,1.1374872693976643
10.0,2,2,0,0,0,0,0,0,0,1301.4293916155955,4080.2609225579145,85.0814294407417,0.48198293436830203,1.6874370210633105,0.0706588587244979,0.0,1.3007723738613315
11.0,4,4,0,0,0,0,0,0,0,2278.7218848574294,7144.110227137891,158.87746562480197,0.8518400942874014,2.607906183733381,0.0823432413807553,0.0,1.501061050105641
12.0,4,4,0,0,0,0,0,0,0,2571.429376997847,8061.769697569736,256.5921068782605,1.3503615974316434,3.2667959813885874,0.12866397250166572,0.0,1.7555157378224122
13.0,4,4,0,0,0,0,0,0,0,2569.0864248129124,8054.621921013071,174.90503770239252,0.9845922167661949,3.290258795238941,0.1432116886751302,0.0,2.0646871596043983
14.0,4,4,0,0,0,0,0,0,0,2486.2864496123875,7795.015908991718,178.62523248324447,0.993863678176927,3.2328722564648613,0.13659137901546542,0.0,2.266687904097802
15.0,5,5,0,0,0,0,0,0,0,2704.230753833389,8478.218610537451,175.67202552624929,0.9916622300210939,3.229724727897662,0.1159661873828069,0.0,2.883506156576358
16.0,5,5,0,0,0,0,0,0,0,4156.608390044221,13031.898792873711,250.33797195336143,1.4443148210870884,5.3419253909290845,0.2291133991937552,0.0,3.3492767962912797
17.0,5,5,0,0,0,0,0,0,0,1765.0606688602388,5533.63993468978,123.64653460514702,0.6538569150938712,1.8123900629026681,0.04762320674743843,0.0,4.017041182100195
18.0,5,5,0,0,0,0,0,0,0,4378.900135427883,13728.545557292084,337.73977900731825,1.8165773429805765,5.294752325519725,0.20017666233658682,0.0,4.335609554790747
19.0,6,6,0,0,0,0,0,0,0,1472.8293648679191,4617.564478021173,47.394781063532946,0.3165296130756119,1.5736285130233734,0.035662190681439346,0.0,5.143964381761347
20.0,6,6,0,0,0,0,0,0,0,2378.726510830639,7457.604043904777,233.90516687835242,1.2018749385780119,2.8887789388091756,0.11583918918561673,0.0,6.008156391470734
21.0,6,6,0,0,0,0,0,0,0,5192.520358878761,16279.558033302546,305.9404882342549,1.764600137378137,6.3577443252096195,0.23894563645590555,0.0,6.487658849437111
22.0,7,7,0,0,0,0,0,0,0,4634.332483826491,14529.269517706674,340.20423683639416,1.8717002815852508,5.442106116324873,0.17735912034821827,0.0,6.950950550810388
23.0,7,7,0,0,0,0,0,0,0,1643.537524523832,5152.722187822192,135.04849709845058,0.7299905329424772,2.0089659354374234,0.0707437827059525,0.0,7.684921496815116
24.0,7,7,0,0,0,0,0,0,0,6658.770541353534,20876.39426357641,466.44420949712253,2.597689229368039,8.175783304649714,0.30623592763216956,0.0,8.231540047228474
25.0,7,7,0,0,0,0,0,0,0,1661.485246215815,5209.052844475796,68.59069300324161,0.42777574793267426,1.8772802031161357,0.05342575750411084,0.0,9.10149631086959
26.0,7,7,0,0,0,0,0,0,0,3135.8735850489184,9831.577656718939,179.9008305103171,1.0437781680991673,3.8270611304268876,0.14397698752564533,0.0,10.338080211294617
27.0,7,7,0,0,0,0,0,0,0,5269.0625613736975,16519.665299485583,319.21237390956185,1.8285095629909405,6.714695010459241,0.28370273232328885,0.0,11.111268650207105
28.0,7,7,0,0,0,0,0,0,0,4433.2791892758205,13899.043181830653,318.6396921416448,1.7642382552680478,5.376485789731155,0.19407134474958518,0.0,12.201975299694245
29.0,7,7,0,0,0,0,0,0,0,4047.963816094618,12691.060486679346,327.48535278064924,1.781450236418467,5.13929494892257,0.2073451860046054,0.0,13.138334783592905
30.0,9,9,0,0,0,0,0,0,0,6068.754122380695,19026.468656014367,489.29908979166396,2.630053518418378,7.376851591732921,0.2857012936922219,0.0,13.975388456587797
31.0,10,10,0,0,0,0,0,0,0,7749.928967486711,24297.28302980747,653.6293450485016,3.5311808602439982,9.781848885163516,0.3940284585397272,0.0,15.628202507588384
32.0,10,10,0,0,0,0,0,0,0,6641.619147252773,20822.778780584853,584.0645696617205,3.146869422448541,8.928076066437132,0.4091485003842421,0.0,17.303899969741998
