Simulation Time,Total Vehicles,Passenger,Trucks,Buses,Motorcycles,Bicycles,Emergencies,Trailers,Deliveries,Total Fuel Consumption (ml),Total CO2 Emission (mg),Total CO Emission (mg),Total HC Emission (mg),Total NOx Emission (mg),Total PMx Emission (mg),Total Trip Time (s),Total Delay (s)
1200.0,277,277,0,0,0,0,0,0,0,4218496.42490357,13225854.667922206,317452.74756863184,1750.7446264077132,5317.851512377884,265.74698181895303,48356.0,301916.0091107878
1260.0,276,276,0,0,0,0,0,0,0,4495698.362676391,14094937.984996207,340548.5356310645,1876.186535726189,5671.766066237415,284.02812212481297,51751.0,328043.7730776531
1320.0,280,280,0,0,0,0,0,0,0,4796466.481537779,15037906.405148191,364684.92642710754,2008.0339877663118,6055.2298106200105,303.2444478516533,55401.0,355244.68687630823
1380.0,277,277,0,0,0,0,0,0,0,5083890.151188186,15939037.114732416,387874.32145870564,2134.0584421726635,6418.901710254465,321.772505755528,59008.0,383586.6865296453
1440.0,275,275,0,0,0,0,0,0,0,5371979.824071086,16842258.78086487,408495.49650940415,2248.6778253589205,6784.154232668324,339.2840011161175,62404.0,412076.7492517265
1500.0,276,276,0,0,0,0,0,0,0,5649114.369471615,17711132.904518582,428917.3354624423,2361.6605764894603,7138.148036407857,355.9412062278047,66079.0,438644.2301050908
1560.0,274,274,0,0,0,0,0,0,0,5928290.222153504,18586405.750815336,449171.0500963518,2474.012981666028,7482.40759188171,373.19120418533157,69895.0,465135.05439732573
1620.0,276,276,0,0,0,0,0,0,0,6205072.896020739,19454179.97041429,468220.7803020192,2580.632449564834,7832.136662261809,390.49892261412805,73390.0,491220.5708357
1680.0,274,274,0,0,0,0,0,0,0,6477238.539778991,20307473.21505894,489728.37985626643,2698.1150478394566,8174.929755945314,407.64439732916355,76538.0,518205.97555246664
1740.0,275,275,0,0,0,0,0,0,0,6743544.512535856,21142396.63999454,508932.9158516509,2804.5297923283683,8506.966513099127,423.6399307572747,79976.0,545401.8510306118
1800.0,275,275,0,0,0,0,0,0,0,7002793.789397784,21955192.510397453,529873.4024273694,2918.543485185688,8829.511608478058,439.9050091686003,83290.0,571626.3287650977
1860.0,269,269,0,0,0,0,0,0,0,7256673.704736928,22751156.065943535,550168.1935493749,3029.013775748094,9149.603304985438,455.85113646135295,87002.0,598362.9943627021
1920.0,276,276,0,0,0,0,0,0,0,7560365.031971035,23703291.1513963,573388.5948713876,3157.05378848281,9531.663401467567,475.5868797200466,90727.0,626617.7310476112
1980.0,263,263,0,0,0,0,0,0,0,7798579.275837162,24450140.181700815,591970.1455750539,3258.9742722484857,9829.885932355173,490.7003912360507,93746.0,652214.4629245759
2040.0,268,268,0,0,0,0,0,0,0,8055075.822758473,25254309.14902925,610110.6086871902,3360.0816495477375,10149.343000240724,506.0027933683093,96619.0,676455.648047058
2100.0,271,271,0,0,0,0,0,0,0,8310565.110462568,26055322.141419742,626572.5291403871,3453.0187275180547,10468.176585422185,520.4361005265973,99643.0,700183.9956803342
2160.0,277,277,0,0,0,0,0,0,0,8579700.232808331,26899117.951330528,645618.513001502,3559.1150376337964,10810.154186217276,536.7790560407091,102978.0,723844.8340063981
2220.0,267,267,0,0,0,0,0,0,0,8846275.46842217,27734885.05528686,666386.65224906,3672.8607934875,11148.246051428516,553.4843642392925,106483.0,747337.4063068927
2280.0,260,260,0,0,0,0,0,0,0,9071738.682150943,28441756.346733656,683291.2790955584,3765.8957640781005,11428.797950402168,566.8852610982842,109881.0,770184.9424623693
2340.0,272,272,0,0,0,0,0,0,0,9342437.042104278,29290451.55936858,703816.320812858,3879.0503984280485,11770.074949222075,584.1725494413666,113200.0,792689.4771809959
2400.0,270,270,0,0,0,0,0,0,0,9676728.893696094,30338531.551253907,726220.3028773599,4005.502136164643,12193.23814744387,605.432212660891,116569.0,815993.5108705258
2460.0,289,289,0,0,0,0,0,0,0,9956837.358563242,31216730.495998994,745446.1679312378,4113.217452304038,12544.077881444518,622.1605790644898,119909.0,841341.6806110134
2520.0,294,294,0,0,0,0,0,0,0,10231060.1851845,32076473.7151761,766161.5627945438,4227.111110777541,12888.391553779698,638.7282680373808,123440.0,866769.4554866671
2580.0,294,294,0,0,0,0,0,0,0,10502635.93995854,32927916.86413256,787073.0206537297,4341.945187741384,13226.569466483588,655.47001384698,127259.0,893978.5866345521
2640.0,290,290,0,0,0,0,0,0,0,10811786.031240735,33897166.23400699,811025.3222761009,4473.653523928079,13619.968909201903,675.3844069957704,130994.0,920940.4235181011
2700.0,289,289,0,0,0,0,0,0,0,11118405.415929725,34858483.918091476,832427.2062906023,4593.369871148827,14010.469477337316,694.0176498751255,134697.0,946903.9093005091
2760.0,286,286,0,0,0,0,0,0,0,11410562.792921286,35774455.96785861,854876.2368741164,4716.5894941481865,14382.735011279892,711.6784773053197,138671.0,973435.7108547688
2820.0,278,278,0,0,0,0,0,0,0,11672509.346472805,36595710.99769885,873199.2973952348,4818.6345846625645,14708.884770484263,726.6366341425,142616.0,1000772.4190316672
2880.0,284,284,0,0,0,0,0,0,0,11950441.81098886,37467086.46201076,893271.901321252,4929.976085870992,15058.478914461346,743.3795067838141,146507.0,1030088.41567318
2940.0,267,267,0,0,0,0,0,0,0,12180931.766980762,38189718.488822214,909154.5472510675,5018.170320083836,15345.161796244283,756.0066087577889,149796.0,1058324.8311516463
3000.0,260,260,0,0,0,0,0,0,0,12435759.684911096,38988658.102786325,926665.9856174431,5116.10759409777,15667.77673840249,771.0100283322804,153147.0,1086315.7437162215
3060.0,272,272,0,0,0,0,0,0,0,12680024.502022857,39754476.33681458,944690.7093059003,5215.654621618885,15970.637567058408,785.5069901622385,156543.0,1114252.6327708268
3120.0,281,281,0,0,0,0,0,0,0,12979109.2031642,40692169.79859164,967443.9499361803,5341.246667793939,16351.248258491265,804.9116790395784,159617.0,1141696.1808816218
3180.0,264,264,0,0,0,0,0,0,0,13247937.639565025,41535004.57888648,986052.6197339289,5445.14811359067,16692.951851690876,820.9941887371095,162568.0,1167555.897947195
3240.0,263,263,0,0,0,0,0,0,0,13503869.334737591,42337402.383679315,1005408.0198991123,5551.604942184053,17014.11053552652,836.9130247546484,165633.0,1192549.7472598557
3300.0,258,258,0,0,0,0,0,0,0,13766561.0846102,43160995.68362147,1024843.3804817094,5659.1564545742,17345.44554644182,853.3809820325114,168771.0,1217056.1979606275
3360.0,250,250,0,0,0,0,0,0,0,13991667.980780404,43866750.29934767,1040955.5949485672,5748.260460689859,17625.402388452116,866.193644774485,172009.0,1240326.36661985
3420.0,253,253,0,0,0,0,0,0,0,14212295.379179278,44558461.54285114,1057521.3576514057,5839.674653203023,17904.044728823686,879.5351458830731,175218.0,1263143.3760180413
3480.0,266,266,0,0,0,0,0,0,0,14513029.52163496,45501325.47259756,1081260.4566115458,5969.7371698689385,18284.096423013783,899.6676825245208,178744.0,1286863.0571581793
