Loading configuration ... done.
***Starting server on port 49395 ***
Loading net-file from '/usr/app/simulation/Ingolstadt_SUMO_365/ingolstadt_net.net.xml' ... done (3998ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/TL/2023-06-20_tlLogics_24h.tll.xml' ... done (70ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/TL/2023-06-20_WAUT.xml' ... done (5ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/PT/pt_stops.add.xml' ... done (20ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/PT/2023-06-20_gtfs_trips.rou.xml' ... 
done (574ms).
Loading done.
Simulation version 1.18.0 started with time: 0.00.
Step #4300.00 (7ms ~= 142.86*RT, ~23571.43UPS, TraCI: 0ms, vehicles TOT 1949 ACT 165 BUF 0
Step #4400.00 (4ms ~= 250.00*RT, ~42500.00UPS, TraCI: 0ms, vehicles TOT 1991 ACT 170 BUF 0
Step #4500.00 (9ms ~= 111.11*RT, ~19666.67UPS, TraCI: 58ms, vehicles TOT 2030 ACT 177 BUF 
Step #4600.00 (8ms ~= 125.00*RT, ~21750.00UPS, TraCI: 0ms, vehicles TOT 2063 ACT 174 BUF 0
Step #4700.00 (7ms ~= 142.86*RT, ~23714.29UPS, TraCI: 0ms, vehicles TOT 2094 ACT 166 BUF 0
Step #4800.00 (5ms ~= 200.00*RT, ~30200.00UPS, TraCI: 50ms, vehicles TOT 2124 ACT 151 BUF 
Step #4900.00 (6ms ~= 166.67*RT, ~27333.33UPS, TraCI: 0ms, vehicles TOT 2169 ACT 164 BUF 0
Step #5000.00 (8ms ~= 125.00*RT, ~22000.00UPS, TraCI: 0ms, vehicles TOT 2206 ACT 176 BUF 0
Step #5100.00 (11ms ~= 90.91*RT, ~15727.27UPS, TraCI: 60ms, vehicles TOT 2237 ACT 173 BUF 
Step #5200.00 (16ms ~= 62.50*RT, ~10750.00UPS, TraCI: 0ms, vehicles TOT 2282 ACT 172 BUF 0
Step #5300.00 (11ms ~= 90.91*RT, ~16545.45UPS, TraCI: 0ms, vehicles TOT 2323 ACT 182 BUF 0
Step #5400.00 (9ms ~= 111.11*RT, ~20444.44UPS, TraCI: 60ms, vehicles TOT 2358 ACT 184 BUF 
Step #5500.00 (9ms ~= 111.11*RT, ~20666.67UPS, TraCI: 1ms, vehicles TOT 2396 ACT 186 BUF 0
Step #5600.00 (10ms ~= 100.00*RT, ~19200.00UPS, TraCI: 0ms, vehicles TOT 2426 ACT 192 BUF 
Step #5700.00 (9ms ~= 111.11*RT, ~21888.89UPS, TraCI: 63ms, vehicles TOT 2474 ACT 197 BUF 
Step #5800.00 (10ms ~= 100.00*RT, ~19400.00UPS, TraCI: 1ms, vehicles TOT 2509 ACT 194 BUF 
Step #5900.00 (12ms ~= 83.33*RT, ~16416.67UPS, TraCI: 0ms, vehicles TOT 2548 ACT 197 BUF 0
Step #6000.00 (11ms ~= 90.91*RT, ~18090.91UPS, TraCI: 68ms, vehicles TOT 2592 ACT 199 BUF 
Step #6100.00 (36ms ~= 27.78*RT, ~5472.22UPS, TraCI: 1ms, vehicles TOT 2627 ACT 197 BUF 0)
Step #6200.00 (8ms ~= 125.00*RT, ~24750.00UPS, TraCI: 0ms, vehicles TOT 2662 ACT 198 BUF 0
Step #6300.00 (10ms ~= 100.00*RT, ~19300.00UPS, TraCI: 64ms, vehicles TOT 2694 ACT 193 BUF
Step #6400.00 (7ms ~= 142.86*RT, ~25428.57UPS, TraCI: 1ms, vehicles TOT 2723 ACT 178 BUF 0
Step #6500.00 (10ms ~= 100.00*RT, ~16400.00UPS, TraCI: 1ms, vehicles TOT 2751 ACT 164 BUF 
Step #6600.00 (7ms ~= 142.86*RT, ~24428.57UPS, TraCI: 55ms, vehicles TOT 2792 ACT 171 BUF 
Step #6700.00 (19ms ~= 52.63*RT, ~8421.05UPS, TraCI: 0ms, vehicles TOT 2828 ACT 160 BUF 0)
Step #6800.00 (9ms ~= 111.11*RT, ~16555.56UPS, TraCI: 0ms, vehicles TOT 2850 ACT 149 BUF 0
Step #6900.00 (11ms ~= 90.91*RT, ~14545.45UPS, TraCI: 53ms, vehicles TOT 2885 ACT 160 BUF 
Step #7000.00 (11ms ~= 90.91*RT, ~15090.91UPS, TraCI: 0ms, vehicles TOT 2920 ACT 166 BUF 0
Step #7100.00 (9ms ~= 111.11*RT, ~18666.67UPS, TraCI: 1ms, vehicles TOT 2955 ACT 168 BUF 0
Step #7200.00 (38ms ~= 26.32*RT, ~4500.00UPS, TraCI: 56ms, vehicles TOT 2988 ACT 171 BUF 0
Step #7300.00 (9ms ~= 111.11*RT, ~18333.33UPS, TraCI: 0ms, vehicles TOT 3013 ACT 165 BUF 0
Step #7400.00 (10ms ~= 100.00*RT, ~16800.00UPS, TraCI: 0ms, vehicles TOT 3045 ACT 168 BUF 
Step #7500.00 (8ms ~= 125.00*RT, ~20000.00UPS, TraCI: 53ms, vehicles TOT 3076 ACT 160 BUF 
Step #7600.00 (9ms ~= 111.11*RT, ~16555.56UPS, TraCI: 1ms, vehicles TOT 3099 ACT 149 BUF 0
Step #7700.00 (9ms ~= 111.11*RT, ~16444.44UPS, TraCI: 1ms, vehicles TOT 3129 ACT 148 BUF 0
Step #7800.00 (28ms ~= 35.71*RT, ~4785.71UPS, TraCI: 47ms, vehicles TOT 3155 ACT 134 BUF 0
Step #7900.00 (10ms ~= 100.00*RT, ~13300.00UPS, TraCI: 0ms, vehicles TOT 3192 ACT 133 BUF 
Step #8000.00 (7ms ~= 142.86*RT, ~19714.29UPS, TraCI: 0ms, vehicles TOT 3219 ACT 138 BUF 0
Step #8100.00 (8ms ~= 125.00*RT, ~17875.00UPS, TraCI: 47ms, vehicles TOT 3248 ACT 143 BUF 
Step #8200.00 (8ms ~= 125.00*RT, ~18125.00UPS, TraCI: 0ms, vehicles TOT 3272 ACT 145 BUF 0
Step #8300.00 (8ms ~= 125.00*RT, ~18750.00UPS, TraCI: 0ms, vehicles TOT 3301 ACT 150 BUF 0
Step #8400.00 (5ms ~= 200.00*RT, ~27800.00UPS, TraCI: 46ms, vehicles TOT 3325 ACT 139 BUF 
Step #8500.00 (10ms ~= 100.00*RT, ~13900.00UPS, TraCI: 1ms, vehicles TOT 3361 ACT 139 BUF 
Step #8600.00 (9ms ~= 111.11*RT, ~16000.00UPS, TraCI: 1ms, vehicles TOT 3393 ACT 144 BUF 0
Step #8700.00 (11ms ~= 90.91*RT, ~12909.09UPS, TraCI: 51ms, vehicles TOT 3423 ACT 142 BUF 
Step #8800.00 (10ms ~= 100.00*RT, ~15300.00UPS, TraCI: 0ms, vehicles TOT 3448 ACT 153 BUF 
Step #8900.00 (9ms ~= 111.11*RT, ~17000.00UPS, TraCI: 0ms, vehicles TOT 3478 ACT 153 BUF 0
Step #9000.00 (10ms ~= 100.00*RT, ~16400.00UPS, TraCI: 56ms, vehicles TOT 3510 ACT 164 BUF
Step #9100.00 (16ms ~= 62.50*RT, ~10375.00UPS, TraCI: 0ms, vehicles TOT 3545 ACT 166 BUF 0
Step #9200.00 (7ms ~= 142.86*RT, ~21428.57UPS, TraCI: 0ms, vehicles TOT 3567 ACT 150 BUF 0
