Loading configuration ... done.
***Starting server on port 55931 ***
Loading net-file from '/usr/app/simulation/Ingolstadt_SUMO_365/ingolstadt_net.net.xml' ... done (3903ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/TL/2023-06-19_tlLogics_24h.tll.xml' ... done (67ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/TL/2023-06-19_WAUT.xml' ... done (5ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/PT/pt_stops.add.xml' ... done (19ms).
Loading additional-files from '/usr/app/simulation/Ingolstadt_SUMO_365/PT/2023-06-19_gtfs_trips.rou.xml' ... 
done (558ms).
Loading done.
Simulation version 1.18.0 started with time: 0.00.
Step #4300.00 (6ms ~= 166.67*RT, ~33166.67UPS, TraCI: 0ms, vehicles TOT 2110 ACT 199 BUF 0
Step #4400.00 (6ms ~= 166.67*RT, ~36166.67UPS, TraCI: 0ms, vehicles TOT 2168 ACT 217 BUF 0
Step #4500.00 (12ms ~= 83.33*RT, ~18916.67UPS, TraCI: 77ms, vehicles TOT 2215 ACT 227 BUF 
Step #4600.00 (5ms ~= 200.00*RT, ~44600.00UPS, TraCI: 0ms, vehicles TOT 2254 ACT 223 BUF 0
Step #4700.00 (22ms ~= 45.45*RT, ~10181.82UPS, TraCI: 0ms, vehicles TOT 2302 ACT 224 BUF 0
Step #4800.00 (14ms ~= 71.43*RT, ~14857.14UPS, TraCI: 72ms, vehicles TOT 2342 ACT 208 BUF 
Step #4900.00 (5ms ~= 200.00*RT, ~43000.00UPS, TraCI: 0ms, vehicles TOT 2389 ACT 215 BUF 0
Step #5000.00 (5ms ~= 200.00*RT, ~44200.00UPS, TraCI: 0ms, vehicles TOT 2431 ACT 221 BUF 0
Step #5100.00 (29ms ~= 34.48*RT, ~7551.72UPS, TraCI: 76ms, vehicles TOT 2471 ACT 219 BUF 0
Step #5200.00 (6ms ~= 166.67*RT, ~34333.33UPS, TraCI: 1ms, vehicles TOT 2513 ACT 206 BUF 0
Step #5300.00 (5ms ~= 200.00*RT, ~39600.00UPS, TraCI: 1ms, vehicles TOT 2551 ACT 198 BUF 0
Step #5400.00 (23ms ~= 43.48*RT, ~9000.00UPS, TraCI: 73ms, vehicles TOT 2594 ACT 207 BUF 0
Step #5500.00 (6ms ~= 166.67*RT, ~32666.67UPS, TraCI: 0ms, vehicles TOT 2626 ACT 196 BUF 0
Step #5600.00 (5ms ~= 200.00*RT, ~38600.00UPS, TraCI: 0ms, vehicles TOT 2655 ACT 193 BUF 0
Step #5700.00 (46ms ~= 21.74*RT, ~4500.00UPS, TraCI: 70ms, vehicles TOT 2710 ACT 207 BUF 0
Step #5800.00 (5ms ~= 200.00*RT, ~41000.00UPS, TraCI: 0ms, vehicles TOT 2745 ACT 205 BUF 0
Step #5900.00 (5ms ~= 200.00*RT, ~40400.00UPS, TraCI: 0ms, vehicles TOT 2782 ACT 202 BUF 0
Step #6000.00 (15ms ~= 66.67*RT, ~14133.33UPS, TraCI: 76ms, vehicles TOT 2828 ACT 212 BUF 
Step #6100.00 (5ms ~= 200.00*RT, ~41200.00UPS, TraCI: 1ms, vehicles TOT 2862 ACT 206 BUF 0
Step #6200.00 (7ms ~= 142.86*RT, ~28428.57UPS, TraCI: 0ms, vehicles TOT 2902 ACT 199 BUF 0
Step #6300.00 (8ms ~= 125.00*RT, ~25375.00UPS, TraCI: 68ms, vehicles TOT 2939 ACT 203 BUF 
Step #6400.00 (6ms ~= 166.67*RT, ~33000.00UPS, TraCI: 0ms, vehicles TOT 2969 ACT 198 BUF 0
Step #6500.00 (6ms ~= 166.67*RT, ~30333.33UPS, TraCI: 0ms, vehicles TOT 3002 ACT 182 BUF 0
Step #6600.00 (34ms ~= 29.41*RT, ~5441.18UPS, TraCI: 73ms, vehicles TOT 3043 ACT 185 BUF 0
Step #6700.00 (14ms ~= 71.43*RT, ~13428.57UPS, TraCI: 0ms, vehicles TOT 3088 ACT 188 BUF 0
Step #6800.00 (5ms ~= 200.00*RT, ~38200.00UPS, TraCI: 0ms, vehicles TOT 3125 ACT 191 BUF 0
Step #6900.00 (6ms ~= 166.67*RT, ~34166.67UPS, TraCI: 75ms, vehicles TOT 3175 ACT 205 BUF 
Step #7000.00 (5ms ~= 200.00*RT, ~40400.00UPS, TraCI: 0ms, vehicles TOT 3206 ACT 202 BUF 0
Step #7100.00 (27ms ~= 37.04*RT, ~7407.41UPS, TraCI: 1ms, vehicles TOT 3236 ACT 200 BUF 0)
Step #7200.00 (7ms ~= 142.86*RT, ~29285.71UPS, TraCI: 68ms, vehicles TOT 3273 ACT 205 BUF 
Step #7300.00 (5ms ~= 200.00*RT, ~38000.00UPS, TraCI: 0ms, vehicles TOT 3302 ACT 190 BUF 0
Step #7400.00 (6ms ~= 166.67*RT, ~30833.33UPS, TraCI: 0ms, vehicles TOT 3328 ACT 185 BUF 0
Step #7500.00 (6ms ~= 166.67*RT, ~31166.67UPS, TraCI: 70ms, vehicles TOT 3362 ACT 187 BUF 
Step #7600.00 (23ms ~= 43.48*RT, ~7956.52UPS, TraCI: 0ms, vehicles TOT 3392 ACT 183 BUF 0)
Step #7700.00 (6ms ~= 166.67*RT, ~29000.00UPS, TraCI: 0ms, vehicles TOT 3425 ACT 174 BUF 0
Step #7800.00 (5ms ~= 200.00*RT, ~32000.00UPS, TraCI: 57ms, vehicles TOT 3446 ACT 160 BUF 
Step #7900.00 (5ms ~= 200.00*RT, ~31000.00UPS, TraCI: 0ms, vehicles TOT 3478 ACT 155 BUF 0
Step #8000.00 (27ms ~= 37.04*RT, ~5518.52UPS, TraCI: 0ms, vehicles TOT 3504 ACT 149 BUF 0)
Step #8100.00 (5ms ~= 200.00*RT, ~31200.00UPS, TraCI: 57ms, vehicles TOT 3535 ACT 156 BUF 
Step #8200.00 (5ms ~= 200.00*RT, ~28200.00UPS, TraCI: 0ms, vehicles TOT 3555 ACT 141 BUF 0
Step #8300.00 (4ms ~= 250.00*RT, ~33250.00UPS, TraCI: 0ms, vehicles TOT 3577 ACT 133 BUF 0
Step #8400.00 (5ms ~= 200.00*RT, ~27600.00UPS, TraCI: 46ms, vehicles TOT 3606 ACT 138 BUF 
Step #8500.00 (5ms ~= 200.00*RT, ~27000.00UPS, TraCI: 0ms, vehicles TOT 3640 ACT 135 BUF 0
Step #8600.00 (5ms ~= 200.00*RT, ~27400.00UPS, TraCI: 0ms, vehicles TOT 3670 ACT 137 BUF 0
Step #8700.00 (6ms ~= 166.67*RT, ~24333.33UPS, TraCI: 53ms, vehicles TOT 3702 ACT 146 BUF 
Step #8800.00 (26ms ~= 38.46*RT, ~5653.85UPS, TraCI: 0ms, vehicles TOT 3727 ACT 147 BUF 0)
Step #8900.00 (5ms ~= 200.00*RT, ~29800.00UPS, TraCI: 0ms, vehicles TOT 3756 ACT 149 BUF 0
Step #9000.00 (11ms ~= 90.91*RT, ~14818.18UPS, TraCI: 61ms, vehicles TOT 3796 ACT 163 BUF 
Step #9100.00 (13ms ~= 76.92*RT, ~13230.77UPS, TraCI: 0ms, vehicles TOT 3831 ACT 172 BUF 0
Step #9200.00 (6ms ~= 166.67*RT, ~26666.67UPS, TraCI: 0ms, vehicles TOT 3856 ACT 160 BUF 0
Step #9300.00 (5ms ~= 200.00*RT, ~30600.00UPS, TraCI: 57ms, vehicles TOT 3885 ACT 153 BUF 
Step #9400.00 (6ms ~= 166.67*RT, ~26666.67UPS, TraCI: 0ms, vehicles TOT 3920 ACT 160 BUF 0
Step #9500.00 (6ms ~= 166.67*RT, ~28833.33UPS, TraCI: 0ms, vehicles TOT 3968 ACT 173 BUF 0
Step #9600.00 (5ms ~= 200.00*RT, ~33400.00UPS, TraCI: 56ms, vehicles TOT 3998 ACT 167 BUF 
Step #9700.00 (6ms ~= 166.67*RT, ~31000.00UPS, TraCI: 0ms, vehicles TOT 4037 ACT 186 BUF 0
Step #9800.00 (6ms ~= 166.67*RT, ~29166.67UPS, TraCI: 0ms, vehicles TOT 4061 ACT 175 BUF 0
Step #9900.00 (14ms ~= 71.43*RT, ~12214.29UPS, TraCI: 61ms, vehicles TOT 4093 ACT 171 BUF 
Step #10000.00 (6ms ~= 166.67*RT, ~28333.33UPS, TraCI: 0ms, vehicles TOT 4123 ACT 170 BUF 
Step #10100.00 (5ms ~= 200.00*RT, ~34400.00UPS, TraCI: 0ms, vehicles TOT 4157 ACT 172 BUF 
Step #10200.00 (6ms ~= 166.67*RT, ~29500.00UPS, TraCI: 64ms, vehicles TOT 4194 ACT 177 BUF
Step #10300.00 (6ms ~= 166.67*RT, ~32333.33UPS, TraCI: 1ms, vehicles TOT 4238 ACT 194 BUF 
Step #10400.00 (6ms ~= 166.67*RT, ~31500.00UPS, TraCI: 0ms, vehicles TOT 4272 ACT 189 BUF 
Step #10500.00 (28ms ~= 35.71*RT, ~6071.43UPS, TraCI: 63ms, vehicles TOT 4300 ACT 170 BUF 
Step #10600.00 (5ms ~= 200.00*RT, ~34800.00UPS, TraCI: 0ms, vehicles TOT 4337 ACT 174 BUF 
Step #10700.00 (13ms ~= 76.92*RT, ~13384.62UPS, TraCI: 0ms, vehicles TOT 4371 ACT 174 BUF 
Step #10800.00 (29ms ~= 34.48*RT, ~5931.03UPS, TraCI: 59ms, vehicles TOT 4409 ACT 172 BUF 
Step #10900.00 (28ms ~= 35.71*RT, ~5964.29UPS, TraCI: 0ms, vehicles TOT 4437 ACT 167 BUF 0
