Simulation Time,Total Vehicles,Passenger,Trucks,Buses,Motorcycles,Bicycles,Emergencies,Trailers,Deliveries,Total Fuel Consumption (ml),Total CO2 Emission (mg),Total CO Emission (mg),Total HC Emission (mg),Total NOx Emission (mg),Total PMx Emission (mg),Total Trip Time (s),Total Delay (s)
60.0,59,59,0,0,0,0,0,0,0,78455.64128872252,245975.09393003889,6832.886284045383,37.26618095780399,99.31406137793587,6.115744704126408,26.0,214.11347609166205
120.0,148,148,0,0,0,0,0,0,0,242020.1908660321,758783.5326984867,20214.32337131711,110.29033910595679,306.75872331797694,17.306782816410095,579.0,1769.0752225359856
180.0,243,243,0,0,0,0,0,0,0,515441.67576853815,1616018.3744530913,41338.65188070183,226.6863863869092,656.7618515086998,35.63562469008363,2345.0,6237.831729893417
240.0,303,303,0,0,0,0,0,0,0,866558.4247094886,2716843.857911559,67821.739732,372.78995694186204,1104.1642346430892,58.34549090340262,5634.0,15091.930750521904
300.0,372,372,0,0,0,0,0,0,0,1225097.244648198,3840936.6705359085,93974.76229023519,517.6791590118202,1553.5097665723622,80.29535233642834,10112.0,29119.68623012039
360.0,428,428,0,0,0,0,0,0,0,1650214.6367468324,5173767.516525958,124708.19547182678,688.445256000666,2089.5695151167083,106.09208276926783,15267.0,49130.49519289693
420.0,476,476,0,0,0,0,0,0,0,2152038.562279432,6747086.631991019,164300.09892799446,905.1000211589695,2725.0337591049415,138.08716710563917,21539.0,75430.43465221801
480.0,548,548,0,0,0,0,0,0,0,2741312.8491905024,8594579.623417111,213563.85704238722,1172.688734442135,3481.45681253291,177.0590439983075,29228.0,109455.07914401752
540.0,592,592,0,0,0,0,0,0,0,3281656.7286573565,10288669.71705507,250276.0725668869,1378.0830386594366,4152.692399485552,208.55266462054425,37901.0,150972.34944618586
600.0,614,614,0,0,0,0,0,0,0,3902633.8132003522,12235563.48455237,295772.2777762806,1629.7995125584816,4943.876701295179,246.79669131032307,46922.0,198051.76031966615
660.0,653,653,0,0,0,0,0,0,0,4521319.253897726,14175267.100913528,340992.7543620183,1879.6710397995203,5724.004096855511,283.05741212242634,56127.0,251549.66976329417
720.0,670,670,0,0,0,0,0,0,0,5113961.357756182,16033318.20019234,384279.5154184552,2118.6085919768348,6463.616831019497,317.84171045386694,65907.0,309713.7584201333
780.0,704,704,0,0,0,0,0,0,0,5748688.255649297,18023315.30147698,431847.8694437124,2380.5960254755655,7268.59723254106,355.8329384307866,75415.0,370421.85582344903
840.0,715,715,0,0,0,0,0,0,0,6403190.634399656,20075308.56094288,480291.8016869352,2647.397442947888,8083.936565040682,394.02486164884783,85710.0,435761.7867237709
900.0,716,716,0,0,0,0,0,0,0,7138767.926202026,22381497.02219272,534150.2119783912,2945.860375725756,9019.413672275441,439.20146902948477,96297.0,505897.64437124314
960.0,748,748,0,0,0,0,0,0,0,7857820.532704178,24635869.047004197,590046.7657096748,3252.4954920163277,9924.300962682037,483.5646172312403,106802.0,578206.7171136929
1020.0,748,748,0,0,0,0,0,0,0,8564583.57632742,26851711.023339957,645365.4574545185,3555.366983316332,10819.115433371382,526.9923184665281,117719.0,651056.494339943
1080.0,752,752,0,0,0,0,0,0,0,9234647.698773194,28952495.409799434,694917.8036192913,3828.3672072783334,11657.095690092567,566.6356855317264,128910.0,724763.1686714601
1140.0,750,750,0,0,0,0,0,0,0,9926879.837215286,31122784.239431333,744427.9691816986,4102.709232686686,12527.304751112473,607.1407474086681,140045.0,798405.3147228383
1200.0,765,765,0,0,0,0,0,0,0,10695282.447392426,33531885.287074286,801626.0171404369,4418.472477519834,13503.523716031717,654.3744271259121,151581.0,875598.5465461493
1260.0,773,773,0,0,0,0,0,0,0,11464497.995829048,35943534.48630336,858508.9497355579,4732.359707070403,14481.991546542458,700.8174307134262,162232.0,952724.0063028934
1320.0,789,789,0,0,0,0,0,0,0,12228449.465355359,38338672.35941696,919504.1330395398,5065.083344541899,15451.191153230428,748.1081923036527,173231.0,1031514.2251828725
1380.0,794,794,0,0,0,0,0,0,0,12983917.492051013,40707211.10615612,982137.2546437287,5405.297387343614,16419.20834714649,795.3638747408536,185142.0,1113129.3247973802
1440.0,810,810,0,0,0,0,0,0,0,13724358.841870757,43028640.772217534,1038293.5894497673,5713.754953596392,17349.921057785574,839.4505205517553,197018.0,1198000.6928401436
1500.0,837,837,0,0,0,0,0,0,0,14555722.900706453,45635136.0387155,1100904.7636468986,6058.644986966142,18405.31958453471,889.981651681732,208622.0,1285691.3695809331
1560.0,828,828,0,0,0,0,0,0,0,15347017.723375468,48116004.12173622,1158459.4756424946,6377.021123209727,19397.09499714495,936.4646699203696,220651.0,1372102.0340367388
1620.0,816,816,0,0,0,0,0,0,0,16115178.868990391,50524346.85274804,1213102.4421055382,6680.901109869552,20364.214702718567,981.6720058393607,231843.0,1456521.8582625752
1680.0,814,814,0,0,0,0,0,0,0,16880124.466152016,52922609.52113538,1266380.8666233453,6978.121618325383,21321.441379035845,1026.8698950321004,242854.0,1541596.1387833895
1740.0,802,802,0,0,0,0,0,0,0,17623090.3701982,55251958.92931082,1318151.5231580026,7266.912063330794,22251.416666920275,1069.66933684046,254057.0,1626380.7924507218
